date,start,high,low,volume,close
1999-01-06,85119,85999,82575,645110,85902
1999-01-07,88054,92946,86195,1412320,92065
1999-01-08,90109,91968,87076,830500,87076
1999-01-11,89032,90011,89032,710689,89522
1999-01-12,94316,94316,86195,573720,87174
1999-01-13,87076,87076,85315,386490,86586
1999-01-14,83847,85119,82673,505121,85119
1999-01-15,85119,87761,84630,331251,87076
1999-01-18,90011,90011,87271,474000,88837
1999-01-19,88054,89522,85999,365490,88445
1999-01-20,89522,91968,88054,977480,90011
1999-01-21,89032,90500,86195,562704,87565
1999-01-22,87565,87565,80227,448442,80227
1999-01-25,82184,85119,80423,654250,84141
1999-01-26,87761,88348,84238,536840,84238
1999-01-27,85119,89913,85021,784947,89326
1999-01-28,89326,90891,88739,789332,90402
1999-01-29,89522,90304,87663,510570,87956
1999-02-01,90011,90011,88152,238890,89424
1999-02-02,89424,89424,86978,315480,87369
1999-02-03,85902,86586,84238,342576,84630
1999-02-04,85119,85608,83162,363810,85119
1999-02-05,84630,88054,82673,695955,88054
1999-02-08,84043,87565,84043,380690,85119
1999-02-09,84141,84923,82869,381820,83749
1999-02-10,82673,83749,80227,664282,81695
1999-02-11,83064,83945,82184,287590,82184
1999-02-12,84141,87565,83358,403600,87174
1999-02-18,85608,86097,84141,440930,84336
1999-02-19,83162,83162,80129,503847,82673
